StationID,StationName,StationNameEN,StationAttribute,DateTime,AirPressure,AirTemperature,RelativeHumidity,WindSpeed,WindDirection,Precipitation,SunshineDuration
467571,新竹,HSINCHU,署屬有人氣象站,2025-02-01T01:00:00+08:00,1012.7,17.0,97,1.8,"東南東,ESE",1.0,
467571,新竹,HSINCHU,署屬有人氣象站,2025-02-01T02:00:00+08:00,1012.3,17.1,97,1.6,"東南,SE",1.0,
467571,新竹,HSINCHU,署屬有人氣象站,2025-02-01T03:00:00+08:00,1011.7,17.1,98,1.1,"東,E",T,
467571,新竹,HSINCHU,署屬有人氣象站,2025-02-01T04:00:00+08:00,1011.1,17.0,98,1.0,"東南東,ESE",0.0,
467571,新竹,HSINCHU,署屬有人氣象站,2025-02-01T05:00:00+08:00,1011.0,17.1,98,0.4,"南南東,SSE",0.0,
467571,新竹,HSINCHU,署屬有人氣象站,2025-02-01T06:00:00+08:00,1010.7,17.2,98,0.3,"東南東,ESE",0.0,0.0
467571,新竹,HSINCHU,署屬有人氣象站,2025-02-01T07:00:00+08:00,1010.7,17.4,95,0.6,"南南東,SSE",0.0,0.0
467571,新竹,HSINCHU,署屬有人氣象站,2025-02-01T08:00:00+08:00,1011.2,17.5,94,0.7,"西,W",0.0,0.2
467571,新竹,HSINCHU,署屬有人氣象站,2025-02-01T09:00:00+08:00,1011.5,18.4,93,0.2,"靜風,Calm",0.0,0.6
467571,新竹,HSINCHU,署屬有人氣象站,2025-02-01T10:00:00+08:00,1011.8,19.3,87,0.4,"南南西,SSW",0.0,0.0
467571,新竹,HSINCHU,署屬有人氣象站,2025-02-01T11:00:00+08:00,1010.9,21.3,81,0.3,"西,W",0.0,0.1
467571,新竹,HSINCHU,署屬有人氣象站,2025-02-01T12:00:00+08:00,1009.8,23.7,74,0.9,"北北西,NNW",0.0,0.9
467571,新竹,HSINCHU,署屬有人氣象站,2025-02-01T13:00:00+08:00,1009.2,22.4,77,0.6,"西北,NW",0.0,0.5
467571,新竹,HSINCHU,署屬有人氣象站,2025-02-01T14:00:00+08:00,1008.6,21.8,78,2.1,"北北東,NNE",0.0,0.3
467571,新竹,HSINCHU,署屬有人氣象站,2025-02-01T15:00:00+08:00,1007.9,20.2,81,4.2,"北北東,NNE",0.0,0.7
467571,新竹,HSINCHU,署屬有人氣象站,2025-02-01T16:00:00+08:00,1008.2,19.6,84,3.3,"東北東,ENE",0.0,0.5
467571,新竹,HSINCHU,署屬有人氣象站,2025-02-01T17:00:00+08:00,1008.6,18.6,89,1.6,"東北東,ENE",0.0,0.0
467571,新竹,HSINCHU,署屬有人氣象站,2025-02-01T18:00:00+08:00,1008.6,18.2,93,4.3,"北北東,NNE",0.0,0.0
467571,新竹,HSINCHU,署屬有人氣象站,2025-02-01T19:00:00+08:00,1010.2,17.3,94,3.9,"北北東,NNE",1.0,0.0
467571,新竹,HSINCHU,署屬有人氣象站,2025-02-01T20:00:00+08:00,1010.8,16.5,93,3.8,"東北,NE",1.0,
467571,新竹,HSINCHU,署屬有人氣象站,2025-02-01T21:00:00+08:00,1011.1,16.2,93,4.2,"北北東,NNE",T,
467571,新竹,HSINCHU,署屬有人氣象站,2025-02-01T22:00:00+08:00,1011.5,15.9,93,3.9,"北北東,NNE",1.0,
467571,新竹,HSINCHU,署屬有人氣象站,2025-02-01T23:00:00+08:00,1011.9,15.5,93,4.2,"北北東,NNE",T,
467571,新竹,HSINCHU,署屬有人氣象站,2025-02-02T00:00:00+08:00,1011.8,15.3,94,1.7,"東北,NE",0.5,
467571,新竹,HSINCHU,署屬有人氣象站,2025-02-02T01:00:00+08:00,1011.9,15.6,93,1.5,"東北,NE",0.0,
467571,新竹,HSINCHU,署屬有人氣象站,2025-02-02T02:00:00+08:00,1011.4,15.6,94,1.7,"北北東,NNE",0.5,
467571,新竹,HSINCHU,署屬有人氣象站,2025-02-02T03:00:00+08:00,1011.3,15.7,96,0.6,"東北東,ENE",1.0,
467571,新竹,HSINCHU,署屬有人氣象站,2025-02-02T04:00:00+08:00,1011.0,15.6,97,1.3,"北北東,NNE",1.0,
467571,新竹,HSINCHU,署屬有人氣象站,2025-02-02T05:00:00+08:00,1010.9,14.9,96,2.5,"北北東,NNE",0.0,
467571,新竹,HSINCHU,署屬有人氣象站,2025-02-02T06:00:00+08:00,1011.5,15.0,96,2.9,"北北東,NNE",0.0,0.0
467571,新竹,HSINCHU,署屬有人氣象站,2025-02-02T07:00:00+08:00,1012.6,14.8,96,3.1,"北北東,NNE",T,0.0
467571,新竹,HSINCHU,署屬有人氣象站,2025-02-02T08:00:00+08:00,1013.0,14.9,96,2.4,"北北東,NNE",0.0,0.0
467571,新竹,HSINCHU,署屬有人氣象站,2025-02-02T09:00:00+08:00,1013.1,14.8,95,2.3,"北北東,NNE",T,0.0
467571,新竹,HSINCHU,署屬有人氣象站,2025-02-02T10:00:00+08:00,1013.3,15.1,94,3.2,"北北東,NNE",0.0,0.0
467571,新竹,HSINCHU,署屬有人氣象站,2025-02-02T11:00:00+08:00,1012.5,15.3,92,3.3,"北北東,NNE",T,0.0
467571,新竹,HSINCHU,署屬有人氣象站,2025-02-02T12:00:00+08:00,1011.7,15.7,92,2.4,"北北東,NNE",0.0,0.0
467571,新竹,HSINCHU,署屬有人氣象站,2025-02-02T13:00:00+08:00,1010.8,15.9,91,1.9,"北北東,NNE",0.0,0.0
